,date,amount,currency,vendor,checked,assigned_picture
44,2017-01-07,42.16,USD,"Pappadeaux Seafood Kitchen, Pappadeaux Seafood Kitchen (612)
7600 Airport Blvd (HOU)
Houston, TX 77061",True,1168-receipt.jpg
45,2019-04-10,13.13,USD,"The Shawarma Factory, 14817 S. Western Ave, Gardena, CA 90249",True,1136-receipt.jpg
46,2016-04-15,16.24,USD,"OM INDIAN FOOD, 204 Spring St, New York, NY 10012",True,1103-receipt.jpg
47,2017-05-04,228.92,USD,"Pita Pita - Lombard, 211 E Roosevelt Rd, Lombard, IL 60148",True,1085-receipt.jpg
48,2017-12-17,83.5,USD,1660 India Street,False,
49,2014-05-22,14.36,USD,"SmokeBoxBBQ, 2361 Whitney Ave, Hamden, CT 06518",True,1075-receipt.jpg
50,2018-06-02,29.96,USD,Golden Panda Buffet,False,
51,2019-05-21,9.59,USD,"CHURCH'S, 7635 KIMEIKA",False,
52,2014-03-22,13.03,USD,"MOOYAH Burgers, Fries & Shakes #199",False,
53,2017-12-21,17.75,USD,"EL VALLÉ Mexican Restaurant, 305 W. John St. Matthews, NC 28105",True,1172-receipt.jpg
54,2018-08-18,160.07,USD,"Chelokababi, 1236 S Wolfe Rd, Sunnyvale, CA 94086",True,1110-receipt.jpg
55,2017-12-20,47.09,USD,(310) 278-2050,True,1131-receipt.jpg
56,2015-08-22,46.39,USD,"Delmonico's Italian Steakhouse, 1663 Central Ave, Albany, NY 12205",True,1169-receipt.jpg
57,2015-03-14,62.7,USD,"Bay Road, Blue Hills",True,1160-receipt.jpg
58,2012-04-27,2.17,USD,IN-N-OUT BURGER SANTA CLARA,True,1020-receipt.jpg
59,2019-02-19,14.18,USD,"Tay Ho Oakland, Elegant Vietnamese Cuisine",False,
60,2015-08-02,17.0,EUR,la Source,False,
61,2017-06-16,30.15,USD,"2011 Hewitt Ave, Everett WA 98201",True,1023-receipt.jpg
62,2018-12-29,16.23,USD,Pokeatery CV,False,
63,2014-10-21,313.49,USD,Paris Las Vegas,False,
64,2022-12-26,65.14,USD,MIGUELS MEXICAN,False,
65,2016-04-10,42.9,USD,"11700 Avenida Albasur, Albuquerque, NM",False,
66,2019-04-01,33.26,USD,"HP Pho Ga, 8930 Mission Dr. #102, Rosemead, CA 91770",True,1012-receipt.jpg
67,2016-04-24,11.04,USD,"4327 N. Expressway 77/83, Brownsville, TX 78521",True,1017-receipt.jpg
68,2018-07-22,51.82,USD,"7701 Atlantic Ave, Cudahy, CA",True,1026-receipt.jpg
69,2017-12-08,94.78,USD,"151 E 50th St, New York, NY 10022",False,
70,2019-07-14,82.0,EUR,Telefono 031/951688,False,
71,2019-05-19,29.98,USD,"26902 92nd Ave NW, Suite A, Stanwood, WA 98292",True,1197-receipt.jpg
72,2017-04-20,5.35,USD,El Gran Mar de Plata,False,
73,2018-09-06,73.24,USD,Via Mar Restaurant,False,
74,2018-06-29,780.45,MYR,MITASU JAPANESE RESTAURANT SDN BHD,False,
75,2018-01-23,45.79,USD,"Taco Maria, 3313 Hyland Ave, Ste C21, Costa Mesa, CA 92626",True,1068-receipt.jpg
76,,30.58,USD,WINGS & THINGS,False,
77,2014-08-30,12.03,USD,IZZY'S,True,1180-receipt.jpg
78,2016-09-01,7.61,USD,"7230 Pendleton Pike, Indianapolis, IN 46226",True,1006-receipt.jpg
79,2018-07-21,25.78,USD,"889 W. 190th Street, Los Angeles, CA 90248",True,1078-receipt.jpg
80,2014-12-21,25.94,USD,"Hialeah, FL 33010",False,
81,2017-05-12,45.58,USD,Ortega Pizzeria & Tavern,False,
82,2016-11-12,117.0,USD,JBR,False,
83,2019-08-06,34.12,USD,Villaggio Grille,False,
84,2017-10-25,14.17,USD,"27000 Marine Ave #103, Redondo Beach, CA 90278",True,1138-receipt.jpg
85,2016-07-15,109.28,USD,"Buca di Beppo, Store#0511
Universal City, CA 91608",True,1170-receipt.jpg
86,2019-07-03,4.99,USD,"401 Bergam St, Harrison, NJ 07029",False,
87,2013-03-16,164.89,USD,"Everett, WA",False,
88,2021-06-21,128.33,EUR,"Sara, Via Giovanni Boccaccio, 123 - 90069 West Hollywood, CA",False,
89,2016-04-07,439.85,USD,"DEL FRISCO'S S #8620, 1221 Avenue of the Americas New York, New York 10020",True,1181-receipt.jpg
90,2019-07-30,152.0,USD,"98 GARFIELD PARKWAY, BETHANY BEACH, DE 19930",True,1056-receipt.jpg
91,2019-08-30,68.99,USD,"16530 BELLFLOWER BLVD BELLFLOWER, CA 90706",True,1128-receipt.jpg
92,2019-03-17,38.86,USD,"Araxi Burger Aventura, 17861 BISCAYNE BLVD Aventura, FL 33160",True,1046-receipt.jpg
93,2017-07-05,27.08,USD,MIGUELS MEXICAN RESTAURANT,False,
94,2017-07-15,79.17,USD,"Rosebud on Rush, 720 North Rush Street, Chicago, IL",True,1116-receipt.jpg
95,2016-12-19,13.05,USD,"CARL'S JR., 8105 MADISON AVE",True,1039-receipt.jpg
96,2019-06-28,10.95,USD,"886 N. Garfield Ave, Montebello, CA 90640",True,1070-receipt.jpg
97,2017-07-06,617.0,INR,"Andhra Style Family Restaurant, Vidyaranayapura, Bangalore-560097",True,1142-receipt.jpg
98,2017-01-21,11.91,USD,Gourdough's Public House,False,
99,2018-06-30,154.0,USD,"Bombay Grill House, 764 9TH AVE NEW YORK, NY 10019",True,1190-receipt.jpg
100,2017-08-24,16.56,USD,"Lalo's Mexican at Navy Pier, 600 E Grand Ave",True,1176-receipt.jpg
101,2015-07-03,7.56,USD,Bar Louie Huntsville,False,
102,2018-08-28,34.0,EUR,"BAR RISTORANTE, STRADITTENUTO MARINO E TERMINE SIN MONTINO S.R.L.",False,
103,2018-04-13,55.38,USD,ipanema Brazilian Steak House,False,
104,,80.0,EUR,Primo Family Restaurant,True,1186-receipt.jpg
105,2019-12-03,55.95,USD,"COMMANDER'S PALACE, 1427 WASHINGTON AVE., NEW ORLEANS, LA.",True,1111-receipt.jpg
106,2023-06-26,64.43,USD,"Smoke City Market
5242 Van Nuys BLVD
Sherman Oaks, CA 91401",False,
107,2018-03-18,67.89,USD,"Nick's Tuscan Grill, 149 Mineola Blvd, Mineola, NY 11501",True,1099-receipt.jpg
108,2017-07-16,144.28,USD,MIKUNI JAPANESE,False,
109,2015-06-02,39.18,USD,SAGE,False,
110,2019-01-24,9.58,USD,"CAFE PARISIEN LARCHMONT LLC, 242 N LARCHMONT BLVD LOS ANGELES, CA 90004",True,1058-receipt.jpg
111,2019-06-29,92.22,USD,"35201 Newark Blvd, Newark, CA 94560",True,1082-receipt.jpg
112,2017-10-01,84.78,USD,"237 Washington Hoboken, NJ",True,1145-receipt.jpg
113,2019-08-23,21.76,USD,El Gato Negro,False,
114,2018-04-24,10.0,USD,Taco Time - Kenmore,False,
115,2017-05-09,30.98,USD,RINCON MEXICANO,False,
116,2017-05-25,32.66,USD,"FIVE GUYS, 2640 Rayford Rd, Spring, TX 77386",True,1090-receipt.jpg
117,2019-09-08,30.16,USD,"223 Newport Ave, Pawtucket, RI 02861",False,
118,2019-05-18,46.73,USD,"8030 Renaissance Parkway, Durham, NC 27713",True,1033-receipt.jpg
119,2017-12-22,27.44,USD,"Brooklyn, NY",False,
120,2023-09-29,146.57,USD,"383 GELLERT BLVD., DALY CITY, CA 94015",True,1134-receipt.jpg
121,2018-01-30,146.73,USD,"375 North Canon Drive, Beverly Hills, CA 90210",True,1135-receipt.jpg
122,2016-02-12,28.4,USD,JT's Diner,False,
123,2015-08-02,17.0,EUR,"Rue de la Paix 12, 1003 Lausanne",False,
124,2019-03-12,25.47,USD,1450 S. Dixie Highway,False,
125,2019-03-03,52.47,USD,Primo Family Restaurant,False,
126,2019-03-19,19.1,USD,"1683 ROUTE 9, CLIFFTON PARK, NY 12065",True,1127-receipt.jpg
127,2023-03-14,32.47,USD,Primo Family Restaurant,False,
128,2017-12-29,42.74,USD,Crisfield Seafood Restaurant,False,
129,2017-03-17,13.78,USD,,True,1083-receipt.jpg
130,2012-09-12,523.0,THB,"KORUM MALL, 4TH FLOOR, MANGA, PANBEY RD, OFF EASTERN EXPRESS, ANDHERI WEST",True,1171-receipt.jpg
131,2017-11-24,28.31,USD,CHRIS'S HAMBURGERS,False,
132,2015-08-06,22.7,USD,The Golden Spear Cafe,False,
133,2017-03-19,9.5,USD,WINGS & THINGS,False,
134,2017-12-28,37.6,USD,"590 Clover Lane, Ashland, Oregon",False,
135,2018-07-21,77.83,USD,"Friendly Red's of Windham, 22 Haverhill Rd, Windham, NH",True,1010-receipt.jpg
136,2017-09-23,85.07,USD,"730 Mass Ave
Cambridge, MA 02139-3308",True,1048-receipt.jpg
137,2018-02-17,22.87,USD,"615 Franklin Ave, Hartford, CT 06114",True,1107-receipt.jpg
138,2018-07-01,125.99,USD,"328 Washington Street, Hoboken, NJ 07030",True,1084-receipt.jpg
139,2018-10-25,26.76,USD,DINE_IN,False,
140,2022-01-15,13.07,USD,Sonic America's Drive-In,False,
141,2018-05-11,28.78,USD,"930 WAYNE AVE #100 SILVER SPRING, MD 20910",True,1097-receipt.jpg
142,2023-10-11,14.0,EUR,IKEA Wien Neves 185,False,
143,2013-06-10,19.44,USD,"IN-N-OUT BURGER ESCONDIDO, 247 2 480 2152",True,1064-receipt.jpg
144,2017-03-05,41.32,USD,BEN'S BAYSIDE,False,
145,2017-06-05,41.45,USD,HEDLEYS,False,
146,2018-12-28,83.64,USD,Firefly American Bistro,False,
147,2017-04-27,61.8,USD,"1120 15TH ST MIAMI BEACH, FL 33139",True,1132-receipt.jpg
148,2018-12-31,58.3,USD,CHARLES,False,
149,2023-09-12,65.1,EUR,Rua das Flores 103,False,
150,2013-07-07,7.27,USD,"McDonald's Restaurant #3100, 1617 N Eastern Ave, Los Angeles, CA 90033",False,
151,2017-08-13,26.38,USD,"Argonaut Diner2000, 1084 Yonkers Avenue, Yonkers, NY 10704",True,1037-receipt.jpg
152,2019-05-19,10.0,USD,JALISCO,False,
153,2017-11-18,52.76,USD,Pappadeaux Seafood Kitchen,False,
154,2018-01-28,52.06,USD,"6661 Stanford Ranch Rd. Rocklin, CA 95677",True,1108-receipt.jpg
155,2019-06-23,26.67,USD,"11318 Yonkers Ave, Yonkers, NY 10704",True,1045-receipt.jpg
156,2019-01-12,44.35,USD,Laurel Tavern,False,
157,2016-12-07,142.93,USD,"Firepoint Grill, 3739 West Chester Pike, Newtown Square, PA 19013",True,1089-receipt.jpg
158,2017-08-21,50.8,USD,"Finnigan's Way Check 822819, 1344 Ocean Drive, Miami Beach, Florida 33139",True,1183-receipt.jpg
159,2018-10-20,23.46,USD,RED & HOT II,False,
160,2017-08-09,26.96,MYR,AM Dining RM,False,
161,2019-03-02,9.97,USD,BRASAS RESTAURANT,False,
162,2018-11-04,14.06,USD,KAZ RAMEN,False,
163,2016-05-26,56.58,USD,"5305 E PACIFIC COAST HWY, Long Beach, CA 90804",True,1000-receipt.jpg
164,2018-06-24,38.23,USD,POPEYE'S,False,
165,2018-06-24,47.9,USD,"El Charro Cafe Ventana, 6910 E SUNRISE DR",True,1179-receipt.jpg
166,2014-10-08,9.7,USD,COLLEGE OF SOUTHERN NEVADA WHERE HOSPITALITY EDUCATION TAKES LIFE,False,
167,2023-06-16,80.45,USD,HMS Host,False,
168,2018-01-25,56.5,USD,"BIG JO'S, 1955 Broadway, Santa Monica, CA 90404",True,1054-receipt.jpg
169,2019-06-16,50.38,USD,"Spiral Diner & Bakery, 608 E Hickory St, Denton, TX 76205",True,1187-receipt.jpg
170,2015-08-30,5.29,USD,"180 Eastern Boulevard, Canandaigua, NY 14424",True,1151-receipt.jpg
171,2015-06-06,33.92,USD,New Asia Buffet,False,
172,2018-09-29,54.2,USD,FourthStreetMill,False,
173,2017-09-27,7.61,USD,CARL'S JR,False,
174,2016-10-04,10.7,USD,"45 MAIN STREET, HACKENSACK, NJ 07601",False,
175,2023-01-03,97.29,EUR,"STANWAY'S, LUKAJA, 96-98 TIBI",False,
176,2019-07-26,47.02,USD,Deccan Spice,False,
177,2019-02-24,33.73,USD,"2988 N. Expressway, Brownsville, TX",True,1074-receipt.jpg
178,2016-07-08,21.73,USD,KFC,False,
179,2023-09-17,142.01,USD,"NATIONAL ACCOUNTS, TRAIN",False,
180,2017-03-10,50.29,USD,"7285 Roswell Road, Sandy Springs, Georgia",True,1015-receipt.jpg
181,2018-06-24,22.03,USD,YUM'S RESTAURANT,False,
182,2015-02-16,129.75,EUR,"2 Holloway Circus, Birmingham, B1 1BE",False,
183,2019-07-18,77.49,USD,"KICKIN KAJUN KAPOLEI, Ka Makana Aliʻi 91-5431 Kapolei Parkway, Suite 426 Kapolei, HI 96707",True,1052-receipt.jpg
184,2017-08-15,179.94,USD,SASKA'S,False,
185,2018-07-02,235.19,USD,"Falmouth Raw Bar, 56 Scranton Ave, Falmouth, MA 02540",True,1079-receipt.jpg
186,2019-01-15,13.22,USD,5 FAIR Oaks Ave,False,
187,2016-09-24,94.18,USD,Nancy's Restaurant,False,
188,2019-11-02,55.39,USD,NJ 07022,False,
189,2013-03-22,193.35,USD,,True,1185-receipt.jpg
190,2018-04-20,157.51,USD,"Calagero's, 919 Franklin Ave. Garden City, NY 11530",True,1088-receipt.jpg
191,2019-12-08,10.9,USD,"22825 Huron River Dr, Rockwood, MI 48173",False,
192,,88.62,USD,"International Market Place, 2330 Kalakaua Ave Ste 326, Honolulu, Hawaii 96815",False,
193,2016-11-24,13.0,USD,NEW DELHI INDIAN RESTAURANT,False,
194,2019-01-11,44.31,USD,"Longboards, 92-161 Waipahe Place, Kapolei, HI 96707",True,1032-receipt.jpg
195,,24.47,USD,Dona Mercedes Restaurant,False,
196,,9.58,USD,"11732 ARTESIA BLVD. ARTESIA, CA.",False,
197,,40.3,USD,"18128 Pioneer Blvd, Artesia, CA 90701",False,
198,,10.23,USD,"Golden Coin, 94-450 Ukee St, Waipahu, HI 96797",False,
199,,47.7,USD,"744 South Perry St. Unit EF CASTLE ROCK, CO 80104",False,
